,open_CVX,high_CVX,low_CVX,close_CVX,volume_CVX
2024-04-01 07:10:00,154.9839,154.9839,154.9839,154.9839,100
2024-04-01 07:11:00,154.9447,154.9936,154.8566,154.8566,329
2024-04-01 07:13:00,154.8957,154.8957,154.7978,154.7978,82
2024-04-01 07:17:00,154.8468,154.8468,154.7880,154.7978,340
2024-04-01 07:18:00,154.7978,154.7978,154.7978,154.7978,299
2024-04-01 07:20:00,154.8076,154.8076,154.8076,154.8076,5
2024-04-01 07:23:00,154.8076,154.8076,154.8076,154.8076,1
2024-04-01 07:26:00,154.9349,154.9349,154.9349,154.9349,10
2024-04-01 07:27:00,154.9349,154.9349,154.9349,154.9349,16
2024-04-01 07:29:00,154.9447,154.9447,154.9447,154.9447,3
2024-04-01 07:30:00,154.9447,155.0328,154.9447,154.9447,39
2024-04-01 07:31:00,154.9349,154.9349,154.9349,154.9349,3
2024-04-01 07:32:00,154.9447,154.9447,154.9447,154.9447,3
2024-04-01 07:34:00,154.9447,154.9447,154.8957,154.9447,331
2024-04-01 07:36:00,154.9447,154.9447,154.9447,154.9447,22
2024-04-01 07:42:00,154.8957,154.8957,154.8957,154.8957,1
2024-04-01 07:44:00,155.0230,155.0230,154.9447,154.9447,8
2024-04-01 07:49:00,154.9055,154.9055,154.8957,154.8957,225
2024-04-01 07:51:00,154.8468,154.8957,154.8468,154.8957,1041
2024-04-01 07:52:00,154.7978,154.8957,154.7978,154.7978,120
2024-04-01 07:53:00,154.7587,154.7978,154.5922,154.6020,225
2024-04-01 07:56:00,154.5922,154.6999,154.5922,154.5922,6
2024-04-01 08:00:00,154.4064,155.1236,154.4064,154.4453,637
2024-04-01 08:01:00,154.4453,155.0916,154.4453,154.9447,50
2024-04-01 08:02:00,154.4453,155.1895,154.4453,154.4453,186
2024-04-01 08:03:00,154.9936,155.1895,154.6020,155.1405,107
2024-04-01 08:04:00,155.1797,155.1895,155.1797,155.1895,56
2024-04-01 08:05:00,155.1895,155.1895,154.6020,155.1797,47
2024-04-01 08:06:00,155.0916,155.1797,154.6999,154.6999,263
2024-04-01 08:08:00,154.6999,154.9839,154.6999,154.9839,150
2024-04-01 08:09:00,154.8174,154.9447,154.7880,154.9447,121
2024-04-01 08:10:00,154.6020,154.6020,154.5433,154.5433,145
2024-04-01 08:11:00,154.6999,155.0818,154.6999,154.9349,115
2024-04-01 08:13:00,154.5433,154.8859,154.5433,154.8859,65
2024-04-01 08:14:00,154.9349,154.9349,154.9349,154.9349,3
2024-04-01 08:16:00,154.8859,154.8859,154.7097,154.7097,3
2024-04-01 08:18:00,154.9349,154.9349,154.9349,154.9349,250
2024-04-01 08:19:00,154.9349,154.9349,154.9349,154.9349,100
2024-04-01 08:20:00,154.9349,154.9349,154.9055,154.9055,7
2024-04-01 08:23:00,154.8468,154.8468,154.8468,154.8468,6
2024-04-01 08:24:00,154.8468,154.8468,154.8468,154.8468,100
2024-04-01 08:27:00,154.8762,154.8762,154.8762,154.8762,21
2024-04-01 08:28:00,154.8762,154.8762,154.8762,154.8762,1
2024-04-01 08:29:00,154.7391,154.9349,154.7391,154.9055,1017
2024-04-01 08:30:00,154.8762,154.8762,154.6020,154.6020,247
2024-04-01 08:31:00,154.9258,154.9349,154.6999,154.6999,6
2024-04-01 08:32:00,154.6314,154.8762,154.6314,154.7489,112
2024-04-01 08:33:00,154.6314,154.6314,154.6020,154.6020,104
2024-04-01 08:34:00,154.6020,154.6803,154.5628,154.5824,1190
2024-04-01 08:35:00,154.6608,154.6608,154.5335,154.5335,516
2024-04-01 08:36:00,154.6412,154.6803,154.4649,154.5041,190
2024-04-01 08:37:00,154.4747,154.5041,154.4747,154.5041,593
2024-04-01 08:38:00,154.5041,154.5041,154.5041,154.5041,253
2024-04-01 08:39:00,154.5041,154.5041,154.5041,154.5041,160
2024-04-01 08:40:00,154.5041,154.5041,154.5041,154.5041,226
2024-04-01 08:41:00,154.4747,154.6314,154.4747,154.6314,2398
2024-04-01 08:43:00,154.8762,154.8762,154.8762,154.8762,3
2024-04-01 08:44:00,154.7880,154.8272,154.7880,154.8272,9
2024-04-01 08:45:00,154.7978,154.7978,154.7978,154.7978,13
2024-04-01 08:46:00,154.7097,154.7097,154.7097,154.7097,7
2024-04-01 08:47:00,154.9349,154.9349,154.9349,154.9349,6
2024-04-01 08:48:00,154.8566,154.8566,154.6999,154.6999,60
2024-04-01 08:49:00,154.8370,154.8370,154.8370,154.8370,50
2024-04-01 08:50:00,154.8076,154.8762,154.6999,154.8762,87
2024-04-01 08:51:00,154.8762,154.8762,154.8762,154.8762,11
2024-04-01 08:54:00,154.7685,154.8754,154.7685,154.8754,92
2024-04-01 08:55:00,154.8746,154.8762,154.8664,154.8762,211
2024-04-01 08:57:00,154.8566,154.8566,154.8566,154.8566,2
2024-04-01 08:59:00,154.7782,154.7782,154.7489,154.7685,172
2024-04-01 09:00:00,154.7782,154.8957,154.7685,154.8957,418
2024-04-01 09:01:00,154.7880,154.9349,154.7880,154.9349,252
2024-04-01 09:02:00,155.0328,155.0328,154.9349,154.9349,51
2024-04-01 09:03:00,154.9936,155.1601,154.9349,155.0818,451
2024-04-01 09:04:00,155.1605,155.1605,155.0132,155.0328,248
2024-04-01 09:05:00,155.0328,155.1307,154.4453,155.1307,18
2024-04-01 09:06:00,155.0230,155.1797,155.0230,155.0916,146
2024-04-01 09:07:00,155.0152,155.0916,155.0132,155.0132,439
2024-04-01 09:08:00,155.0524,155.1601,155.0524,155.1601,51
2024-04-01 09:09:00,154.7097,154.7097,154.7097,154.7097,11
2024-04-01 09:11:00,155.0622,155.0916,154.9839,155.0916,199
2024-04-01 09:12:00,154.9936,155.1601,154.9936,155.1601,65
2024-04-01 09:13:00,155.1111,155.1405,155.0720,155.0916,376
2024-04-01 09:14:00,155.0916,155.0916,154.9936,155.0916,5
2024-04-01 09:15:00,155.0132,155.0132,155.0034,155.0034,36
2024-04-01 09:16:00,155.0622,155.0622,154.8859,154.8859,360
2024-04-01 09:17:00,154.9936,155.0230,154.8272,155.0230,154
2024-04-01 09:18:00,155.0818,155.0818,154.8272,154.8272,20
2024-04-01 09:19:00,155.0132,155.0132,154.8566,154.9447,181
2024-04-01 09:20:00,154.9447,155.0034,154.9055,155.0034,124
2024-04-01 09:22:00,154.8174,155.1307,154.8174,155.1307,55
2024-04-01 09:23:00,155.0132,155.0132,155.0132,155.0132,5
2024-04-01 09:24:00,154.8859,154.8859,154.8859,154.8859,7
2024-04-01 09:25:00,154.9447,154.9447,154.8957,154.8957,150
2024-04-01 09:26:00,154.8957,154.8957,154.8957,154.8957,1
2024-04-01 09:27:00,154.9055,154.9447,154.8957,154.9447,65
2024-04-01 09:28:00,154.8566,154.8566,154.4551,154.7685,883
2024-04-01 09:30:00,154.9643,155.0426,154.6901,154.7391,1010
2024-04-01 09:31:00,154.7880,154.9716,154.6705,154.8859,112008
2024-04-01 09:32:00,154.8664,154.8762,154.3964,154.4160,25163
2024-04-01 09:33:00,154.4062,154.4845,154.2789,154.3523,13761
2024-04-01 09:34:00,154.3508,154.4649,154.2593,154.3866,10578
2024-04-01 09:35:00,154.3670,154.3670,154.0439,154.0929,15541
2024-04-01 09:36:00,154.0439,154.0439,153.7991,153.8452,15384
2024-04-01 09:37:00,153.8383,153.8432,153.6621,153.7208,21156
2024-04-01 09:38:00,153.7404,153.8285,153.6718,153.7746,8218
2024-04-01 09:39:00,153.7600,153.9362,153.7215,153.9019,12179
2024-04-01 09:40:00,153.8873,154.0341,153.8579,154.0047,14745
2024-04-01 09:41:00,154.0047,154.3376,153.9950,154.3146,8418
2024-04-01 09:42:00,154.3327,154.4649,154.3327,154.4551,11973
2024-04-01 09:43:00,154.4453,154.7097,154.4258,154.7097,8439
2024-04-01 09:44:00,154.6999,154.7293,154.6705,154.7293,10584
2024-04-01 09:45:00,154.6999,154.7097,154.3523,154.4405,13625
2024-04-01 09:46:00,154.4649,154.4649,154.2550,154.2713,9589
2024-04-01 09:47:00,154.3083,154.3523,154.1859,154.2250,9521
2024-04-01 09:48:00,154.2299,154.3474,154.1614,154.2985,10363
2024-04-01 09:49:00,154.2985,154.2985,154.1761,154.2055,7668
2024-04-01 09:50:00,154.2006,154.2764,154.1614,154.2250,8533
2024-04-01 09:51:00,154.2495,154.4062,154.2495,154.4062,9869
2024-04-01 09:52:00,154.2998,154.3376,154.2397,154.3376,10488
2024-04-01 09:53:00,154.2985,154.3768,154.2789,154.3425,3511
2024-04-01 09:54:00,154.3376,154.3376,154.1908,154.2495,7974
2024-04-01 09:55:00,154.2642,154.3465,154.2104,154.3034,9909
2024-04-01 09:56:00,154.2887,154.3768,154.2691,154.3474,11927
2024-04-01 09:57:00,154.3616,154.5041,154.3474,154.4698,3856
2024-04-01 09:58:00,154.4845,154.5041,154.4649,154.4747,5452
2024-04-01 09:59:00,154.5171,154.5922,154.5041,154.5824,8065
2024-04-01 10:00:00,154.5628,154.5628,154.3670,154.3817,20813
2024-04-01 10:01:00,154.4160,154.5090,154.3425,154.4943,14461
2024-04-01 10:02:00,154.4649,154.6412,154.4453,154.6412,11668
2024-04-01 10:03:00,154.6510,154.7097,154.6412,154.6608,9352
2024-04-01 10:04:00,154.6559,154.6607,154.5139,154.5628,16818
2024-04-01 10:05:00,154.5628,154.6118,154.5090,154.5628,9343
2024-04-01 10:06:00,154.5726,154.6999,154.5433,154.6901,9274
2024-04-01 10:07:00,154.6754,154.7048,154.5824,154.6186,9695
2024-04-01 10:08:00,154.6265,154.6467,154.5726,154.6216,7997
2024-04-01 10:09:00,154.6412,154.7293,154.6216,154.7293,10171
2024-04-01 10:10:00,154.7293,154.7685,154.6901,154.6901,14246
2024-04-01 10:11:00,154.6999,154.7097,154.5482,154.6069,12288
2024-04-01 10:12:00,154.6118,154.6412,154.6020,154.6412,6369
2024-04-01 10:13:00,154.6510,154.7489,154.6510,154.6901,8021
2024-04-01 10:14:00,154.6803,154.6803,154.5775,154.6069,11546
2024-04-01 10:15:00,154.5824,154.6216,154.5433,154.5628,7633
2024-04-01 10:16:00,154.5818,154.6173,154.5139,154.6118,8769
2024-04-01 10:17:00,154.6510,154.7195,154.6412,154.6852,13147
2024-04-01 10:18:00,154.7195,154.7587,154.6803,154.6999,11650
2024-04-01 10:19:00,154.6803,154.7097,154.6412,154.7097,9447
2024-04-01 10:20:00,154.6901,154.7293,154.6705,154.6999,6344
2024-04-01 10:21:00,154.6999,154.7733,154.6999,154.7489,6793
2024-04-01 10:22:00,154.7293,154.7685,154.7097,154.7391,9273
2024-04-01 10:23:00,154.7244,154.7733,154.6901,154.7733,5022
2024-04-01 10:24:00,154.7391,154.8076,154.7293,154.7391,22941
2024-04-01 10:25:00,154.7391,154.7782,154.7391,154.7782,11659
2024-04-01 10:26:00,154.7782,154.8468,154.7587,154.8370,11158
2024-04-01 10:27:00,154.8370,154.8957,154.8076,154.8370,33152
2024-04-01 10:28:00,154.8272,154.8272,154.7587,154.7949,9489
2024-04-01 10:29:00,154.8076,154.8370,154.7782,154.7782,6697
2024-04-01 10:30:00,154.7880,154.8370,154.7587,154.7587,15359
2024-04-01 10:31:00,154.7587,154.9055,154.7489,154.9055,24502
2024-04-01 10:32:00,154.9153,155.0132,154.9153,154.9447,16412
2024-04-01 10:33:00,154.9447,154.9741,154.8859,154.9643,10198
2024-04-01 10:34:00,154.9936,155.0034,154.8957,154.9251,11336
2024-04-01 10:35:00,154.9153,154.9741,154.8908,154.9349,7771
2024-04-01 10:36:00,154.9252,154.9447,154.9006,154.9080,18769
2024-04-01 10:37:00,154.8957,154.8957,154.8272,154.8762,9116
2024-04-01 10:38:00,154.8757,154.8957,154.8076,154.8468,13984
2024-04-01 10:39:00,154.8468,154.9936,154.8370,154.9839,10172
2024-04-01 10:40:00,154.9936,155.1014,154.9936,155.1014,16868
2024-04-01 10:41:00,155.0818,155.1014,155.0426,155.0842,13179
2024-04-01 10:42:00,155.0720,155.1405,155.0328,155.1405,16657
2024-04-01 10:43:00,155.1376,155.2286,155.1209,155.1994,29264
2024-04-01 10:44:00,155.2188,155.2776,155.2188,155.2433,47530
2024-04-01 10:45:00,155.2482,155.3265,155.2237,155.2678,32633
2024-04-01 10:46:00,155.2678,155.3360,155.2531,155.3070,14234
2024-04-01 10:47:00,155.3070,155.3115,155.2384,155.2678,29936
2024-04-01 10:48:00,155.2580,155.3853,155.2580,155.3853,19170
2024-04-01 10:49:00,155.3706,155.4098,155.3461,155.4098,18774
2024-04-01 10:50:00,155.4021,155.4147,155.3461,155.4147,19383
2024-04-01 10:51:00,155.4147,155.4343,155.3412,155.3657,13751
2024-04-01 10:52:00,155.3951,155.4832,155.3951,155.4636,18766
2024-04-01 10:53:00,155.4538,155.4734,155.3951,155.3951,15007
2024-04-01 10:54:00,155.3853,155.4343,155.3657,155.4049,11879
2024-04-01 10:55:00,155.3951,155.4930,155.3755,155.4636,11865
2024-04-01 10:56:00,155.4734,155.4783,155.3314,155.3314,10768
2024-04-01 10:57:00,155.3197,155.3559,155.3168,155.3265,6550
2024-04-01 10:58:00,155.3168,155.3755,155.3168,155.3755,6287
2024-04-01 10:59:00,155.3657,155.3853,155.2874,155.3070,15883
2024-04-01 11:00:00,155.3168,155.3168,155.2188,155.2188,14513
2024-04-01 11:01:00,155.2286,155.2580,155.2091,155.2237,10478
2024-04-01 11:02:00,155.2188,155.2188,155.1601,155.1601,9577
2024-04-01 11:03:00,155.1552,155.1699,155.1111,155.1307,8565
2024-04-01 11:04:00,155.1307,155.1699,155.1209,155.1699,17335
2024-04-01 11:05:00,155.1797,155.2091,155.1601,155.1993,7387
2024-04-01 11:06:00,155.1895,155.1895,155.1307,155.1414,9726
2024-04-01 11:07:00,155.1503,155.1797,155.1210,155.1797,7097
2024-04-01 11:08:00,155.1601,155.1601,155.0427,155.0622,12131
2024-04-01 11:09:00,155.0622,155.0719,155.0034,155.0132,6670
2024-04-01 11:10:00,155.0230,155.1405,155.0230,155.1307,10404
2024-04-01 11:11:00,155.1454,155.2286,155.1454,155.1944,6091
2024-04-01 11:12:00,155.1992,155.2384,155.1946,155.1946,6880
2024-04-01 11:13:00,155.1993,155.2776,155.1993,155.2678,7880
2024-04-01 11:14:00,155.2750,155.2874,155.2091,155.2286,12688
2024-04-01 11:15:00,155.2482,155.3657,155.2482,155.3364,6983
2024-04-01 11:16:00,155.3461,155.3853,155.3168,155.3412,11487
2024-04-01 11:17:00,155.3363,155.3951,155.2825,155.3902,8029
2024-04-01 11:18:00,155.3902,155.4832,155.3804,155.4783,9691
2024-04-01 11:19:00,155.4734,155.4930,155.4538,155.4734,11152
2024-04-01 11:20:00,155.4636,155.4930,155.4343,155.4440,16601
2024-04-01 11:21:00,155.4440,155.5517,155.4440,155.5517,13687
2024-04-01 11:22:00,155.5517,155.5517,155.4832,155.4832,8158
2024-04-01 11:23:00,155.4734,155.5126,155.4147,155.5126,30320
2024-04-01 11:24:00,155.5028,155.5028,155.3944,155.4094,15183
2024-04-01 11:25:00,155.4147,155.5811,155.4147,155.5517,18513
2024-04-01 11:26:00,155.5664,155.5713,155.4587,155.5028,15681
2024-04-01 11:27:00,155.5016,155.5420,155.4881,155.5420,6270
2024-04-01 11:28:00,155.5273,155.5909,155.5273,155.5468,14606
2024-04-01 11:29:00,155.5594,155.5713,155.5322,155.5391,6126
2024-04-01 11:30:00,155.5126,155.5420,155.4832,155.5322,12027
2024-04-01 11:31:00,155.5498,155.5615,155.5028,155.5028,36779
2024-04-01 11:32:00,155.5028,155.5322,155.4832,155.4832,24905
2024-04-01 11:33:00,155.4823,155.5028,155.4433,155.4440,9923
2024-04-01 11:34:00,155.4391,155.4734,155.4343,155.4538,6150
2024-04-01 11:35:00,155.4343,155.4734,155.4343,155.4538,2495
2024-04-01 11:36:00,155.4587,155.4930,155.4441,155.4832,5947
2024-04-01 11:37:00,155.4930,155.5144,155.4832,155.4913,5076
2024-04-01 11:38:00,155.4930,155.5322,155.4930,155.5126,12030
2024-04-01 11:39:00,155.5029,155.5126,155.4538,155.4538,8022
2024-04-01 11:40:00,155.4538,155.4606,155.4325,155.4325,3458
2024-04-01 11:41:00,155.4294,155.5028,155.4196,155.4734,12494
2024-04-01 11:42:00,155.4636,155.4711,155.4196,155.4440,6850
2024-04-01 11:43:00,155.4538,155.5028,155.4323,155.5028,4844
2024-04-01 11:44:00,155.4979,155.5458,155.4979,155.5420,12418
2024-04-01 11:45:00,155.5420,155.5713,155.5419,155.5517,8801
2024-04-01 11:46:00,155.5420,155.5811,155.4930,155.5811,54625
2024-04-01 11:47:00,155.5811,155.6203,155.5615,155.6105,7133
2024-04-01 11:48:00,155.6007,155.6203,155.5811,155.5811,11405
2024-04-01 11:49:00,155.5811,155.5909,155.5420,155.5439,7113
2024-04-01 11:50:00,155.5420,155.5517,155.5322,155.5517,8597
2024-04-01 11:51:00,155.5517,155.5615,155.5420,155.5517,4820
2024-04-01 11:52:00,155.5322,155.5615,155.5322,155.5615,4014
2024-04-01 11:53:00,155.5615,155.6007,155.5126,155.5713,52078
2024-04-01 11:54:00,155.5615,155.5811,155.4930,155.4979,16576
2024-04-01 11:55:00,155.4930,155.5322,155.4904,155.5126,12609
2024-04-01 11:56:00,155.5322,155.5420,155.4930,155.5028,6284
2024-04-01 11:57:00,155.5126,155.6399,155.5126,155.6106,11261
2024-04-01 11:58:00,155.6154,155.7280,155.6154,155.6790,53293
2024-04-01 11:59:00,155.6692,155.6692,155.6105,155.6203,6062
2024-04-01 12:00:00,155.5811,155.6594,155.5811,155.6594,16371
2024-04-01 12:01:00,155.6594,155.6839,155.5811,155.6692,11195
2024-04-01 12:02:00,155.6692,155.6692,155.6399,155.6594,10361
2024-04-01 12:03:00,155.6692,155.7378,155.6692,155.7084,13482
2024-04-01 12:04:00,155.7118,155.7280,155.6790,155.7182,19472
2024-04-01 12:05:00,155.7133,155.7133,155.6252,155.6497,13112
2024-04-01 12:06:00,155.6546,155.7671,155.6399,155.7671,14900
2024-04-01 12:07:00,155.7667,155.8063,155.7427,155.7476,11820
2024-04-01 12:08:00,155.7476,155.7476,155.6692,155.6888,10946
2024-04-01 12:09:00,155.6888,155.7035,155.6526,155.6526,5851
2024-04-01 12:10:00,155.6594,155.6986,155.6594,155.6790,5375
2024-04-01 12:11:00,155.6692,155.6937,155.6497,155.6497,14398
2024-04-01 12:12:00,155.6399,155.7280,155.6203,155.6888,17709
2024-04-01 12:13:00,155.6809,155.7182,155.6809,155.7035,7834
2024-04-01 12:14:00,155.7084,155.7133,155.6937,155.7109,4901
2024-04-01 12:15:00,155.7182,155.7182,155.5811,155.6399,13825
2024-04-01 12:16:00,155.6396,155.6594,155.6105,155.6154,11028
2024-04-01 12:17:00,155.6105,155.6105,155.5273,155.6056,11528
2024-04-01 12:18:00,155.6085,155.6692,155.6007,155.6473,6829
2024-04-01 12:19:00,155.6301,155.6888,155.6301,155.6888,8553
2024-04-01 12:20:00,155.6888,155.7178,155.6692,155.7084,8235
2024-04-01 12:21:00,155.7182,155.7280,155.6741,155.7084,8595
2024-04-01 12:22:00,155.7182,155.7427,155.7182,155.7378,5010
2024-04-01 12:23:00,155.7280,155.7476,155.6986,155.7476,7769
2024-04-01 12:24:00,155.7378,155.7671,155.7309,155.7574,8748
2024-04-01 12:25:00,155.7769,155.7867,155.7280,155.7476,6315
2024-04-01 12:26:00,155.7476,155.7769,155.7378,155.7768,7032
2024-04-01 12:27:00,155.7671,155.8357,155.7623,155.8357,11259
2024-04-01 12:28:00,155.8352,155.8406,155.8014,155.8014,8092
2024-04-01 12:29:00,155.8062,155.8062,155.7574,155.7574,11994
2024-04-01 12:30:00,155.7476,155.8046,155.7084,155.8046,16475
2024-04-01 12:31:00,155.8161,155.8161,155.7671,155.8063,9310
2024-04-01 12:32:00,155.8063,155.8063,155.7818,155.8063,8639
2024-04-01 12:33:00,155.8160,155.8549,155.8160,155.8357,11873
2024-04-01 12:34:00,155.8210,155.8259,155.7448,155.7769,12545
2024-04-01 12:35:00,155.7720,155.7827,155.7476,155.7574,9549
2024-04-01 12:36:00,155.7574,155.7769,155.7476,155.7574,9501
2024-04-01 12:37:00,155.7671,155.8651,155.7623,155.8651,14183
2024-04-01 12:38:00,155.8455,155.8944,155.8455,155.8846,6483
2024-04-01 12:39:00,155.9016,155.9042,155.8799,155.8799,4993
2024-04-01 12:40:00,155.8846,155.8846,155.8456,155.8553,6591
2024-04-01 12:41:00,155.8455,155.8944,155.8357,155.8749,12254
2024-04-01 12:42:00,155.8700,155.8944,155.8651,155.8944,4009
2024-04-01 12:43:00,155.8993,155.9140,155.8797,155.8797,7359
2024-04-01 12:44:00,155.8797,155.9117,155.8553,155.8943,9115
2024-04-01 12:45:00,155.8846,155.8846,155.8553,155.8749,7069
2024-04-01 12:46:00,155.8651,155.8651,155.8160,155.8259,6548
2024-04-01 12:47:00,155.8259,155.8504,155.8259,155.8455,7185
2024-04-01 12:48:00,155.8357,155.8651,155.8259,155.8259,7571
2024-04-01 12:49:00,155.8161,155.8455,155.7965,155.8455,5014
2024-04-01 12:50:00,155.8443,155.8651,155.8259,155.8308,10173
2024-04-01 12:51:00,155.8259,155.8651,155.8161,155.8553,22205
2024-04-01 12:52:00,155.8651,155.8749,155.8357,155.8651,16054
2024-04-01 12:53:00,155.8455,155.8553,155.7818,155.8161,14246
2024-04-01 12:54:00,155.7965,155.8357,155.7671,155.8357,6114
2024-04-01 12:55:00,155.8357,155.8357,155.7867,155.8051,5067
2024-04-01 12:56:00,155.7965,155.8210,155.7720,155.8210,10491
2024-04-01 12:57:00,155.8259,155.8651,155.8259,155.8406,9075
2024-04-01 12:58:00,155.8406,155.9434,155.8357,155.9238,9376
2024-04-01 12:59:00,155.9434,156.0119,155.9434,155.9923,10994
2024-04-01 13:00:00,155.9954,155.9954,155.9336,155.9522,7246
2024-04-01 13:01:00,155.9385,155.9826,155.9336,155.9434,13934
2024-04-01 13:02:00,155.9336,155.9336,155.9043,155.9336,4071
2024-04-01 13:03:00,155.9287,155.9287,155.8944,155.9042,7077
2024-04-01 13:04:00,155.8846,155.8944,155.8357,155.8448,8233
2024-04-01 13:05:00,155.8259,155.8357,155.7769,155.8063,7839
2024-04-01 13:06:00,155.7965,155.8357,155.7867,155.7867,6715
2024-04-01 13:07:00,155.7964,155.8553,155.7769,155.8553,7900
2024-04-01 13:08:00,155.8651,155.8651,155.8161,155.8259,5241
2024-04-01 13:09:00,155.8161,155.8357,155.7965,155.8259,9131
2024-04-01 13:10:00,155.8357,155.8357,155.8014,155.8112,6338
2024-04-01 13:11:00,155.8147,155.8147,155.8063,155.8063,2775
2024-04-01 13:12:00,155.8145,155.8145,155.7671,155.7671,9677
2024-04-01 13:13:00,155.7574,155.7965,155.7476,155.7965,8928
2024-04-01 13:14:00,155.7769,155.7769,155.7182,155.7378,9031
2024-04-01 13:15:00,155.7280,155.7280,155.6399,155.6399,6388
2024-04-01 13:16:00,155.6203,155.6204,155.6007,155.6007,10324
2024-04-01 13:17:00,155.5811,155.5811,155.5224,155.5310,9293
2024-04-01 13:18:00,155.5420,155.5615,155.5077,155.5322,8318
2024-04-01 13:19:00,155.5420,155.5420,155.4734,155.4930,10870
2024-04-01 13:20:00,155.4734,155.4832,155.4343,155.4440,7666
2024-04-01 13:21:00,155.4440,155.4440,155.3608,155.3706,13525
2024-04-01 13:22:00,155.3755,155.3804,155.3363,155.3440,10267
2024-04-01 13:23:00,155.3461,155.3951,155.3168,155.3853,24199
2024-04-01 13:24:00,155.3951,155.4049,155.3633,155.4049,46915
2024-04-01 13:25:00,155.3853,155.4636,155.3853,155.4636,5909
