,open_TSLA,high_TSLA,low_TSLA,close_TSLA,volume_TSLA
2024-04-01 04:47:00,177.4200,177.4300,177.4000,177.4000,229
2024-04-01 04:48:00,177.4100,177.4100,177.3100,177.3100,2481
2024-04-01 04:49:00,177.3200,177.4000,177.3000,177.3200,1788
2024-04-01 04:50:00,177.3700,177.4000,177.3100,177.4000,886
2024-04-01 04:51:00,177.3600,177.4500,177.3600,177.4500,788
2024-04-01 04:52:00,177.4500,177.5200,177.4200,177.4800,5091
2024-04-01 04:53:00,177.4700,177.5000,177.4300,177.4800,1403
2024-04-01 04:54:00,177.5000,177.8200,177.4800,177.7900,9203
2024-04-01 04:55:00,177.8000,177.8200,177.7200,177.7500,1964
2024-04-01 04:56:00,177.7400,177.9800,177.6600,177.7200,12707
2024-04-01 04:57:00,177.7100,177.7900,177.6600,177.7900,1799
2024-04-01 04:58:00,177.8000,177.8300,177.7400,177.8100,505
2024-04-01 04:59:00,177.8100,177.8100,177.7000,177.7600,1495
2024-04-01 05:00:00,177.7400,177.8700,177.7400,177.8300,1644
2024-04-01 05:01:00,177.8000,177.8400,177.7000,177.7200,4267
2024-04-01 05:02:00,177.7200,177.7400,177.7000,177.7200,909
2024-04-01 05:03:00,177.7300,177.8100,177.7200,177.7800,1029
2024-04-01 05:04:00,177.7800,177.7800,177.7500,177.7500,424
2024-04-01 05:05:00,177.7600,177.7900,177.7200,177.7800,773
2024-04-01 05:06:00,177.7900,177.8000,177.7000,177.7000,2527
2024-04-01 05:07:00,177.7000,177.7600,177.6000,177.6000,2484
2024-04-01 05:08:00,177.6300,177.6600,177.6000,177.6600,2149
2024-04-01 05:09:00,177.6600,177.7400,177.6400,177.6700,967
2024-04-01 05:10:00,177.6800,177.7100,177.6400,177.7000,849
2024-04-01 05:11:00,177.7000,177.7100,177.6500,177.7000,178
2024-04-01 05:12:00,177.6600,177.7000,177.6400,177.6400,224
2024-04-01 05:13:00,177.6900,177.7000,177.6200,177.7000,1204
2024-04-01 05:14:00,177.7000,177.7500,177.7000,177.7200,1435
2024-04-01 05:15:00,177.7100,177.7400,177.7000,177.7300,151
2024-04-01 05:16:00,177.7300,177.8000,177.7200,177.7600,4475
2024-04-01 05:17:00,177.7600,177.7900,177.7300,177.7400,233
2024-04-01 05:18:00,177.7300,177.7600,177.7300,177.7400,230
2024-04-01 05:19:00,177.7400,177.7600,177.7100,177.7300,822
2024-04-01 05:20:00,177.7500,177.7600,177.7000,177.7500,2136
2024-04-01 05:21:00,177.7400,177.7500,177.7000,177.7300,1399
2024-04-01 05:22:00,177.7400,177.7600,177.7100,177.7400,683
2024-04-01 05:23:00,177.7400,177.7600,177.7000,177.7000,642
2024-04-01 05:24:00,177.7100,177.7100,177.7000,177.7000,246
2024-04-01 05:25:00,177.7000,177.7200,177.7000,177.7100,1346
2024-04-01 05:26:00,177.7100,177.7200,177.6300,177.6500,1500
2024-04-01 05:27:00,177.6600,177.7200,177.6300,177.7200,1764
2024-04-01 05:28:00,177.7100,177.7600,177.7000,177.7400,2016
2024-04-01 05:29:00,177.7600,177.7600,177.7200,177.7200,384
2024-04-01 05:30:00,177.7500,177.7600,177.7200,177.7400,560
2024-04-01 05:31:00,177.7100,177.7200,177.7000,177.7000,2152
2024-04-01 05:32:00,177.7000,177.7000,177.6400,177.6900,574
2024-04-01 05:33:00,177.6900,177.7200,177.6600,177.7100,1164
2024-04-01 05:34:00,177.7100,177.7400,177.6900,177.7100,773
2024-04-01 05:35:00,177.7100,177.7100,177.6600,177.6600,307
2024-04-01 05:36:00,177.6900,177.7400,177.6900,177.7300,817
2024-04-01 05:37:00,177.7100,177.7300,177.6900,177.7000,679
2024-04-01 05:38:00,177.6700,177.7500,177.6500,177.6500,1919
2024-04-01 05:39:00,177.6600,177.7000,177.6500,177.6900,539
2024-04-01 05:40:00,177.6500,177.6900,177.6400,177.6500,133
2024-04-01 05:41:00,177.6500,177.6900,177.6400,177.6900,85
2024-04-01 05:42:00,177.6900,177.6900,177.6800,177.6900,139
2024-04-01 05:43:00,177.6900,177.7000,177.6500,177.7000,716
2024-04-01 05:44:00,177.6900,177.7900,177.6600,177.7900,3160
2024-04-01 05:45:00,177.8000,177.8300,177.7900,177.8000,1132
2024-04-01 05:46:00,177.8000,177.8200,177.7700,177.7800,675
2024-04-01 05:47:00,177.7900,177.8100,177.7400,177.7800,171
2024-04-01 05:48:00,177.7700,177.8200,177.7600,177.8000,325
2024-04-01 05:49:00,177.7700,177.8000,177.7700,177.7800,630
2024-04-01 05:50:00,177.7700,177.8000,177.7600,177.8000,669
2024-04-01 05:51:00,177.8100,177.8400,177.8000,177.8200,1040
2024-04-01 05:52:00,177.8300,177.8400,177.8000,177.8200,568
2024-04-01 05:53:00,177.8200,177.8400,177.8000,177.8200,699
2024-04-01 05:54:00,177.8000,177.8200,177.8000,177.8000,817
2024-04-01 05:55:00,177.8100,177.8200,177.8000,177.8100,448
2024-04-01 05:56:00,177.8100,177.8200,177.8000,177.8000,1240
2024-04-01 05:57:00,177.8100,177.9400,177.8000,177.9300,4187
2024-04-01 05:58:00,177.9200,178.1900,177.9200,178.0700,14882
2024-04-01 05:59:00,178.0700,178.1300,177.9600,177.9900,2063
2024-04-01 06:00:00,178.0000,178.0200,177.8200,177.9200,1630
2024-04-01 06:01:00,177.9200,177.9200,177.8100,177.8500,755
2024-04-01 06:02:00,177.9200,177.9200,177.8200,177.8500,740
2024-04-01 06:03:00,177.8700,177.8700,177.7600,177.7600,2075
2024-04-01 06:04:00,177.7600,177.8300,177.7400,177.7400,985
2024-04-01 06:05:00,177.7400,177.7400,177.6700,177.7200,1896
2024-04-01 06:06:00,177.7000,177.7800,177.7000,177.7100,770
2024-04-01 06:07:00,177.7700,177.8400,177.7000,177.7600,2228
2024-04-01 06:08:00,177.8400,177.8400,177.7500,177.7800,360
2024-04-01 06:09:00,177.7800,177.8100,177.7700,177.8000,291
2024-04-01 06:10:00,177.8100,177.8100,177.7000,177.7400,1452
2024-04-01 06:11:00,177.7400,177.7700,177.7000,177.7600,1017
2024-04-01 06:12:00,177.7600,177.7600,177.7100,177.7400,499
2024-04-01 06:13:00,177.7400,177.7900,177.7400,177.7600,147
2024-04-01 06:14:00,177.7900,177.7900,177.7100,177.7400,716
2024-04-01 06:15:00,177.7300,177.8000,177.7200,177.7800,2907
2024-04-01 06:16:00,177.7900,177.7900,177.6700,177.7500,1021
2024-04-01 06:17:00,177.7500,177.8500,177.7500,177.8400,1621
2024-04-01 06:18:00,177.8500,177.8900,177.8300,177.8500,1045
2024-04-01 06:19:00,177.8700,177.8800,177.8300,177.8300,189
2024-04-01 06:20:00,177.8300,177.8600,177.7900,177.8300,963
2024-04-01 06:21:00,177.8300,177.8300,177.7800,177.7800,1830
2024-04-01 06:22:00,177.7800,177.8000,177.7800,177.8000,608
2024-04-01 06:23:00,177.7900,177.8200,177.7800,177.8000,370
2024-04-01 06:24:00,177.8000,177.8100,177.7900,177.8100,341
2024-04-01 06:25:00,177.8100,177.8100,177.7800,177.7800,131
2024-04-01 06:26:00,177.7900,177.8800,177.7800,177.8700,3635
2024-04-01 06:27:00,177.8800,177.9500,177.8700,177.9200,1604
2024-04-01 06:28:00,177.9300,178.0300,177.8700,178.0000,9091
2024-04-01 06:29:00,178.0300,178.0700,177.9800,178.0700,2953
2024-04-01 06:30:00,178.0700,178.0700,178.0000,178.0200,458
2024-04-01 06:31:00,178.0500,178.1000,178.0400,178.0600,1362
2024-04-01 06:32:00,178.0400,178.1600,178.0300,178.0700,2592
2024-04-01 06:33:00,178.1000,178.1500,178.0300,178.0500,2865
2024-04-01 06:34:00,178.0500,178.1300,178.0500,178.1100,1795
2024-04-01 06:35:00,178.1300,178.2700,178.1100,178.2400,9921
2024-04-01 06:36:00,178.2500,178.3200,178.1200,178.2200,5589
2024-04-01 06:37:00,178.1900,178.2900,178.1200,178.2200,4610
2024-04-01 06:38:00,178.2400,178.2800,177.9900,178.0700,2915
2024-04-01 06:39:00,178.1000,178.1000,177.9200,177.9900,1235
2024-04-01 06:40:00,177.9500,177.9800,177.8100,177.8500,3212
2024-04-01 06:41:00,177.9000,177.9000,177.7000,177.8000,2493
2024-04-01 06:42:00,177.8000,177.9100,177.7800,177.8000,1356
2024-04-01 06:43:00,177.8000,177.8200,177.6700,177.7900,777
2024-04-01 06:44:00,177.8100,177.8300,177.7000,177.8300,391
2024-04-01 06:45:00,177.7500,177.8000,177.6700,177.7000,594
2024-04-01 06:46:00,177.7100,177.7900,177.7000,177.7000,109
2024-04-01 06:47:00,177.7000,177.7600,177.7000,177.7600,52
2024-04-01 06:48:00,177.7600,177.8000,177.7600,177.7600,164
2024-04-01 06:49:00,177.7600,177.7600,177.7000,177.7200,348
2024-04-01 06:50:00,177.7200,177.7900,177.7000,177.7800,735
2024-04-01 06:51:00,177.7800,177.8000,177.6500,177.6500,1682
2024-04-01 06:52:00,177.6800,177.7500,177.6500,177.7200,1286
2024-04-01 06:53:00,177.6900,177.7500,177.6900,177.6900,500
2024-04-01 06:54:00,177.7100,177.7500,177.7100,177.7500,256
2024-04-01 06:55:00,177.7200,177.9000,177.7200,177.8000,2277
2024-04-01 06:56:00,177.8000,177.8800,177.7500,177.7600,834
2024-04-01 06:57:00,177.7500,177.7800,177.6700,177.7300,2672
2024-04-01 06:58:00,177.7300,177.8000,177.7000,177.7800,372
2024-04-01 06:59:00,177.8000,177.9300,177.7800,177.8100,1522
2024-04-01 07:00:00,177.8000,177.8000,177.2700,177.3000,19685
2024-04-01 07:01:00,177.3100,177.3500,177.0400,177.0500,8121
2024-04-01 07:02:00,177.0400,177.0500,176.9300,177.0200,10387
2024-04-01 07:03:00,177.0800,177.2500,177.0800,177.1700,1226
2024-04-01 07:04:00,177.1700,177.1800,177.0300,177.0500,2281
2024-04-01 07:05:00,177.0500,177.1300,176.9300,176.9500,6332
2024-04-01 07:06:00,177.0000,177.0000,176.6600,176.6700,8925
2024-04-01 07:07:00,176.7100,176.7400,176.5200,176.6200,4201
2024-04-01 07:08:00,176.6700,176.9400,176.6700,176.8500,7154
2024-04-01 07:09:00,176.9200,176.9300,176.8100,176.8800,2855
2024-04-01 07:10:00,176.8800,177.0000,176.8200,177.0000,3802
2024-04-01 07:11:00,177.0000,177.1000,176.9600,177.0500,3329
2024-04-01 07:12:00,177.0700,177.1000,177.0000,177.1000,5452
2024-04-01 07:13:00,177.0700,177.1700,176.8400,176.8900,25145
2024-04-01 07:14:00,176.9600,176.9600,176.8300,176.9400,3176
2024-04-01 07:15:00,176.9100,176.9700,176.8000,176.8300,3515
2024-04-01 07:16:00,176.8000,176.8300,176.6400,176.7900,4422
2024-04-01 07:17:00,176.7100,176.8600,176.6900,176.7500,2180
2024-04-01 07:18:00,176.8300,176.8500,176.7300,176.8300,2736
2024-04-01 07:19:00,176.8300,176.8300,176.5800,176.6200,5863
2024-04-01 07:20:00,176.6200,176.6500,176.5400,176.5600,1908
2024-04-01 07:21:00,176.5700,176.6500,176.5100,176.6500,5981
2024-04-01 07:22:00,176.6800,176.7100,176.6300,176.6500,1638
2024-04-01 07:23:00,176.6800,176.6900,176.5800,176.6000,2644
2024-04-01 07:24:00,176.6000,176.6200,176.4000,176.4000,5810
2024-04-01 07:25:00,176.4000,176.4500,176.2300,176.4000,3167
2024-04-01 07:26:00,176.4500,176.5400,176.4300,176.5000,3079
2024-04-01 07:27:00,176.5000,176.5200,176.4200,176.4800,2736
2024-04-01 07:28:00,176.4700,176.4900,176.4000,176.4600,1655
2024-04-01 07:29:00,176.4700,176.4800,176.3600,176.3800,1348
2024-04-01 07:30:00,176.3600,176.3800,176.2000,176.3100,7133
2024-04-01 07:31:00,176.2800,176.4300,176.2500,176.3600,3176
2024-04-01 07:32:00,176.3500,176.5000,176.3300,176.4500,5244
2024-04-01 07:33:00,176.4500,176.4500,176.3000,176.4100,5531
2024-04-01 07:34:00,176.3600,176.4000,176.3500,176.3800,748
2024-04-01 07:35:00,176.3700,176.4700,176.3500,176.4700,1884
2024-04-01 07:36:00,176.4600,176.5000,176.4400,176.4600,3330
2024-04-01 07:37:00,176.4300,176.4700,176.2100,176.3500,7495
2024-04-01 07:38:00,176.4000,176.4400,176.3900,176.3900,1017
2024-04-01 07:39:00,176.3900,176.4000,176.3000,176.4000,3250
2024-04-01 07:40:00,176.4000,176.4000,176.3400,176.3800,1424
2024-04-01 07:41:00,176.3700,176.3900,176.3400,176.3800,3013
2024-04-01 07:42:00,176.3600,176.3700,176.3000,176.3500,2554
2024-04-01 07:43:00,176.3400,176.3700,176.3300,176.3700,1347
2024-04-01 07:44:00,176.3400,176.5000,176.3400,176.5000,6775
2024-04-01 07:45:00,176.5000,176.6300,176.4300,176.5000,8911
2024-04-01 07:46:00,176.5000,176.5200,176.4200,176.4800,2447
2024-04-01 07:47:00,176.4900,176.5500,176.4200,176.4600,2654
2024-04-01 07:48:00,176.4300,176.4600,176.4000,176.4100,1727
2024-04-01 07:49:00,176.4300,176.4400,176.3900,176.4400,1201
2024-04-01 07:50:00,176.4400,176.4900,176.4100,176.4400,2171
2024-04-01 07:51:00,176.4400,176.4600,176.3800,176.4300,625
2024-04-01 07:52:00,176.4200,176.4600,176.4200,176.4600,2407
2024-04-01 07:53:00,176.4600,176.4600,176.3700,176.4100,3540
2024-04-01 07:54:00,176.4000,176.6000,176.3900,176.5900,12459
2024-04-01 07:55:00,176.5700,176.6300,176.5400,176.5500,2883
2024-04-01 07:56:00,176.5500,176.5900,176.5300,176.5900,956
2024-04-01 07:57:00,176.5700,176.6100,176.5500,176.5500,2312
2024-04-01 07:58:00,176.5500,176.5600,176.5200,176.5200,981
2024-04-01 07:59:00,176.5400,176.5900,176.5200,176.5900,2239
2024-04-01 08:00:00,177.5000,178.2328,176.2000,176.4700,209588
2024-04-01 08:01:00,176.5300,177.4600,175.3510,176.4500,10907
2024-04-01 08:02:00,176.4000,177.4700,175.7900,177.1500,19351
2024-04-01 08:03:00,175.7900,177.4700,175.7900,176.8200,9736
2024-04-01 08:04:00,176.8500,177.4600,176.2700,176.8100,16694
2024-04-01 08:05:00,177.0500,177.4700,175.7900,177.0000,52755
2024-04-01 08:06:00,176.9000,177.2900,175.8000,175.8500,25941
2024-04-01 08:07:00,175.8500,175.9500,175.8000,175.8850,5940
2024-04-01 08:08:00,175.8570,176.0000,175.8000,175.9800,7727
2024-04-01 08:09:00,175.9600,176.0000,175.8219,175.8219,4363
2024-04-01 08:10:00,175.8700,175.9900,175.8000,175.9100,5189
2024-04-01 08:11:00,175.9100,175.9100,175.8100,175.8800,2045
2024-04-01 08:12:00,175.8900,175.9400,175.8200,175.9379,4994
2024-04-01 08:13:00,175.9400,175.9600,175.8600,175.9600,3374
2024-04-01 08:14:00,175.9400,175.9600,175.8650,175.9000,5636
2024-04-01 08:15:00,175.8900,175.9000,175.6000,175.6750,15282
2024-04-01 08:16:00,175.6600,175.8900,175.6600,175.7500,6422
2024-04-01 08:17:00,175.7300,175.8900,175.7300,175.8900,2158
2024-04-01 08:18:00,175.7600,175.8900,175.7600,175.8300,3032
2024-04-01 08:19:00,175.8220,176.0000,175.8220,175.9500,10409
2024-04-01 08:20:00,175.9100,175.9900,175.7600,175.8000,2845
2024-04-01 08:21:00,175.7900,175.8200,175.6300,175.7500,8744
2024-04-01 08:22:00,175.6300,175.8900,175.6300,175.8400,7661
2024-04-01 08:23:00,175.8400,175.8900,175.6500,175.8000,3788
2024-04-01 08:24:00,175.8000,175.8800,175.8000,175.8200,7127
2024-04-01 08:25:00,175.8000,175.9600,175.8000,175.8900,3334
2024-04-01 08:26:00,175.8400,175.9800,175.8400,175.9800,5579
2024-04-01 08:27:00,175.9400,175.9800,175.8700,175.9400,6224
2024-04-01 08:28:00,175.9400,175.9800,175.8800,175.9500,2603
2024-04-01 08:29:00,175.9500,175.9500,175.8500,175.8550,4110
2024-04-01 08:30:00,175.8600,175.9000,175.7900,175.8300,2738
2024-04-01 08:31:00,175.8600,175.9000,175.7600,175.7631,5100
2024-04-01 08:32:00,175.7660,175.8800,175.7600,175.8500,3200
2024-04-01 08:33:00,175.8050,175.8600,175.8000,175.8200,5416
2024-04-01 08:34:00,175.8500,175.8500,175.7600,175.8300,3969
2024-04-01 08:35:00,175.8300,175.8500,175.7626,175.8000,3428
2024-04-01 08:36:00,175.8048,175.8600,175.7900,175.8300,9508
2024-04-01 08:37:00,175.8400,175.8500,175.7700,175.8000,4338
2024-04-01 08:38:00,175.8000,175.8200,175.6500,175.7500,5583
2024-04-01 08:39:00,175.7500,175.8300,175.7500,175.7800,7027
2024-04-01 08:40:00,175.8200,175.8200,175.7500,175.8000,5309
2024-04-01 08:41:00,175.8100,175.9500,175.7800,175.9100,7608
2024-04-01 08:42:00,175.9200,175.9700,175.8550,175.9200,3231
2024-04-01 08:43:00,175.9105,175.9800,175.9105,175.9800,8301
2024-04-01 08:44:00,175.9500,175.9500,175.8400,175.9400,4312
2024-04-01 08:45:00,175.8400,176.2000,175.8400,176.1500,10442
2024-04-01 08:46:00,176.1200,176.1700,176.0000,176.0250,5901
2024-04-01 08:47:00,176.0300,176.2000,175.9300,176.1600,8080
2024-04-01 08:48:00,176.1600,176.2000,176.0000,176.1500,7325
2024-04-01 08:49:00,176.0600,176.1500,176.0300,176.0300,3667
2024-04-01 08:50:00,176.0300,176.1000,175.9500,176.1000,6139
2024-04-01 08:51:00,176.0900,177.9600,176.0000,176.1200,9346
2024-04-01 08:52:00,176.0700,177.5650,176.0000,176.0100,5152
2024-04-01 08:53:00,176.0008,176.1600,175.9500,176.1000,4121
2024-04-01 08:54:00,176.0200,176.2000,176.0200,176.1450,8366
2024-04-01 08:55:00,176.1500,176.1800,176.1400,176.1595,6262
2024-04-01 08:56:00,176.1400,176.1700,176.1000,176.1400,6056
2024-04-01 08:57:00,176.1100,176.1400,176.0200,176.0800,2972
2024-04-01 08:58:00,176.0216,176.1400,176.0000,176.1005,4968
2024-04-01 08:59:00,176.0700,176.1200,176.0300,176.0800,3676
2024-04-01 09:00:00,176.0800,176.1100,176.0300,176.0750,2651
2024-04-01 09:01:00,176.0800,176.0900,175.9200,176.0300,6061
2024-04-01 09:02:00,176.0100,176.0900,175.7900,176.0450,4087
2024-04-01 09:03:00,176.0450,176.1800,176.0000,176.1400,7062
2024-04-01 09:04:00,176.1500,176.3100,176.1300,176.2600,18384
2024-04-01 09:05:00,176.3100,176.3650,175.7900,176.3600,7361
2024-04-01 09:06:00,176.3400,176.4000,176.2400,176.3000,8444
2024-04-01 09:07:00,176.3000,176.3800,176.2500,176.2900,2519
2024-04-01 09:08:00,176.3100,176.3600,176.2500,176.2850,4334
2024-04-01 09:09:00,176.3000,176.3400,176.2850,176.3200,2674
2024-04-01 09:10:00,176.3400,176.3400,176.2900,176.3000,2484
2024-04-01 09:11:00,176.3000,176.3400,176.2400,176.2800,5692
2024-04-01 09:12:00,176.2500,176.2900,176.2400,176.2550,4044
2024-04-01 09:13:00,176.2400,176.2900,176.2400,176.2400,5682
2024-04-01 09:14:00,176.2500,176.3000,176.2400,176.2800,5504
2024-04-01 09:15:00,176.2500,176.2900,176.2200,176.2407,8490
2024-04-01 09:16:00,176.2400,176.2900,176.2200,176.2200,8197
2024-04-01 09:17:00,176.2200,176.2400,176.1300,176.1800,16769
2024-04-01 09:18:00,176.1900,176.2600,176.1400,176.2300,6407
2024-04-01 09:19:00,176.2300,176.2600,176.1950,176.2300,2875
2024-04-01 09:20:00,176.2300,176.2600,176.1400,176.1600,4752
2024-04-01 09:21:00,176.1800,176.2000,176.1400,176.1600,7155
2024-04-01 09:22:00,176.1400,176.2300,176.1400,176.2300,11289
2024-04-01 09:23:00,176.1900,176.2300,176.1700,176.2300,10131
2024-04-01 09:24:00,176.1900,176.2300,176.1400,176.1700,2734
2024-04-01 09:25:00,176.1700,176.1700,175.5000,175.9000,31723
2024-04-01 09:26:00,175.9000,175.9800,175.8000,175.9370,7528
2024-04-01 09:27:00,175.8800,176.3000,175.8000,176.0700,15133
2024-04-01 09:28:00,176.1900,176.2000,176.0100,176.1000,6760
2024-04-01 09:29:00,176.0700,176.2300,176.0400,176.1600,10789
2024-04-01 09:30:00,176.1700,176.7500,176.0500,176.1500,1181653
2024-04-01 09:31:00,176.1200,176.2099,175.2700,175.2700,560021
2024-04-01 09:32:00,175.2700,175.2700,174.1900,174.7250,828966
2024-04-01 09:33:00,174.7600,174.9200,174.2800,174.5121,532789
2024-04-01 09:34:00,174.5600,175.9600,174.5301,175.9480,578059
2024-04-01 09:35:00,175.9400,175.9800,175.6100,175.7745,469998
2024-04-01 09:36:00,175.8300,175.9100,175.4031,175.7600,387134
2024-04-01 09:37:00,175.7565,175.8800,175.4500,175.5900,321846
2024-04-01 09:38:00,175.5981,175.9200,175.4016,175.6000,358734
2024-04-01 09:39:00,175.6100,175.6800,175.3800,175.5000,340741
2024-04-01 09:40:00,175.5250,176.1200,175.4200,175.8646,593115
2024-04-01 09:41:00,175.8650,176.1200,175.5500,176.0470,253648
2024-04-01 09:42:00,176.0500,176.2000,175.8600,176.0480,380033
2024-04-01 09:43:00,176.0400,176.1083,175.2000,175.3100,479099
2024-04-01 09:44:00,175.2850,175.3799,174.6800,174.8547,536351
2024-04-01 09:45:00,174.8500,175.3480,174.7700,174.9400,273773
2024-04-01 09:46:00,174.9200,175.0199,174.0900,174.4540,522262
2024-04-01 09:47:00,174.4300,174.6300,174.2400,174.5662,396328
2024-04-01 09:48:00,174.5800,174.9500,174.3101,174.8700,370640
2024-04-01 09:49:00,174.8997,175.2600,174.8000,174.9300,412483
2024-04-01 09:50:00,174.9450,175.1790,174.5200,174.7640,263577
2024-04-01 09:51:00,174.7643,174.9500,174.6000,174.7750,178167
2024-04-01 09:52:00,174.7731,175.4600,174.6000,175.4100,283451
2024-04-01 09:53:00,175.4000,176.1000,175.2126,175.9001,494287
2024-04-01 09:54:00,175.9185,176.0300,175.6757,175.7050,265116
2024-04-01 09:55:00,175.7100,175.9600,175.6900,175.7550,234817
2024-04-01 09:56:00,175.7550,175.8784,175.5500,175.7240,225329
2024-04-01 09:57:00,175.7200,176.0200,175.6400,175.9673,259883
2024-04-01 09:58:00,175.9790,176.1600,175.8701,175.8850,240892
2024-04-01 09:59:00,175.8927,175.9200,175.2200,175.5650,321604
2024-04-01 10:00:00,175.5300,175.5303,175.1100,175.3399,242953
2024-04-01 10:01:00,175.3300,175.4028,175.1800,175.3800,173695
2024-04-01 10:02:00,175.3700,175.7399,175.0601,175.1441,282288
2024-04-01 10:03:00,175.1859,175.1859,174.6800,174.8708,263098
2024-04-01 10:04:00,174.8800,174.9000,174.4600,174.6936,260239
2024-04-01 10:05:00,174.7100,174.9400,174.5116,174.8701,214102
2024-04-01 10:06:00,174.9300,174.9600,174.8000,174.8988,174161
2024-04-01 10:07:00,174.9000,175.0000,174.7000,174.9539,226286
2024-04-01 10:08:00,174.9302,175.3000,174.8000,174.8000,331356
2024-04-01 10:09:00,174.8200,174.9600,174.3500,174.4300,318528
2024-04-01 10:10:00,174.4100,174.4252,173.8000,173.8250,698656
2024-04-01 10:11:00,173.7900,174.0800,173.2300,173.6306,634039
2024-04-01 10:12:00,173.6483,173.6899,173.4200,173.4450,269061
2024-04-01 10:13:00,173.4550,173.7500,173.4400,173.5336,299951
2024-04-01 10:14:00,173.5352,173.5352,173.1730,173.2900,302093
2024-04-01 10:15:00,173.2800,173.3700,173.0500,173.1243,292219
2024-04-01 10:16:00,173.1299,173.1900,172.9100,172.9900,445842
2024-04-01 10:17:00,172.9800,173.2771,172.9200,172.9450,298200
2024-04-01 10:18:00,172.9387,173.0000,172.5300,172.5300,409721
2024-04-01 10:19:00,172.5420,172.6499,172.3600,172.4200,384044
2024-04-01 10:20:00,172.4250,172.6400,172.3100,172.4900,326419
2024-04-01 10:21:00,172.4850,172.6900,172.4801,172.5358,260853
2024-04-01 10:22:00,172.5700,172.8500,172.5000,172.7850,312098
2024-04-01 10:23:00,172.7934,172.8600,172.5000,172.5750,271494
2024-04-01 10:24:00,172.5500,172.6600,172.4100,172.4400,259275
2024-04-01 10:25:00,172.4400,172.5300,172.3200,172.3385,352372
2024-04-01 10:26:00,172.3200,172.3200,172.0900,172.1300,402246
2024-04-01 10:27:00,172.1450,172.2000,171.8001,171.9360,487966
2024-04-01 10:28:00,171.9300,171.9389,171.6000,171.8200,481925
